id,comment,label,task
train_010351,Sản phẩm siêu xinh luôn shop ơi,2,1
train_008429,"Dây bị lỗi bong tróc, chất lượng sản phẩm kém",0,1
train_011127,Đóng gói sản phẩm cẩn thận,2,2
train_009962,Thất vọng mua đồng hồ Nhật mà nhận đồng hồ China,0,1
train_009839,"Màu mã và màu sắc y hình, bình thường mình mang size 35",1,9
train_009839,"Cho tất cả các loại giày dép đều vừa khít hoặc hơi chật nhưng hai đôi này cùng size 35 nhưng hơi rộng khoảng 1 size, nhưng không sao, có thể vì form giày này nó rộng với lại chất liệu vải nó mỏng và mịn nên hơi rộng, thích nó",2,1
train_003007,Cái này giống hàng trưng bày hay sao vậy,0,1
train_003007,Hàng mới nhận mở ra xem thì trầy xước hết rồi shop ơi,0,1
train_003007,Vali mới mà trầy hết trơn à.,0,1
train_015079,Ăn cảm giác như mực để lâu khô cứng và dai,0,1
train_008585,Đóng gói sản phẩm rất kém chỉ bọc giấy chuẩn bị hàng quá lâu,0,2
train_004719,Chất lượng sản phẩm tuyệt vời,2,1
train_004719,Rất đáng tiền mua,2,4
train_008636,Cửa hàng tốt nhất rồi,2,9
train_008636,"Chất lượng sản phẩm tuyệt vời, giao hàng 4h, gói hàng cực kỳ chắc chắn, chống sốc mấy lớp liền, hàng digiworld phân phối, giao đúng loại, trả lời tin nhắn cũng nhanh nữa.",2,1
train_009282,Màu đẹp mà giá lại ok nữa rất thích,2,4
train_007809,Nói là sản phẩm 20.000mAh mà sạc được có 5% pin là dừng rồi,0,1
train_005670,"Chất lượng giấy tốt, in màu đẹp, phần trình bày rõ ràng, giải thích dễ hiểu, có cả phần bài tập ứng dụng. Tuy nhiên, phần chữ tiếng Việt rất nhiều và mật độ chữ dày đặc, dễ bị hoa mắt",1,1
train_003694,Son màu đẹp,2,1
train_013427,Chất lượng bình thường vải không đẹp lắm,0,1
train_011127,Nho hạt to như hình in trên hộp ăn rất ngon,2,1
train_000213,Đóng gói chắc chắn,2,2
train_000213,Sản phẩm đẹp,2,1
train_000213,Nhưng không có pin dự phòng,0,9
train_015907,Mua 3 mà giao 2,0,3
train_000413,Giày đẹp như hình,2,1
train_000413,"Được rồi, với câu bạn đưa ra ""Ok."", đây là một câu ngắn và chung chung, tôi hiểu nó mang ý nghĩa trung tính và thuộc về nhóm ""Khác"". Kết quả là: Ok.",1,9
train_000413,Cảm ơn,2,9
train_007083,Son đẹp check code ok,2,9
train_003203,"Đặt hàng màu bạc mà lúc nhận được lại là màu vàng, chát hỏi lại shop thì lại không thấy phản hồi gì cả, gọi điện cũng không nghe.",0,6
train_003203,Rất thất vọng về sản phẩm cũng như thái độ phục vụ của shop,0,5
train_013009,Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn,2,1
train_008900,"Giá 1,29 triệu đồng là quá đắt, vì chỉ dùng được một thời gian ngắn, tiền nào của đó",0,4
train_006891,Đóng gói sản phẩm rất đẹp và chắc chắn,2,2
train_006891,Sản phẩm không giống hình shop đăng,0,1
train_000905,"Bên shop thông báo cho mình hết phấn gấu, sau đó chuyển sang phấn vịt, rồi lại thông báo hết phấn vịt và chuyển sang phấn của 3CE",0,9
train_000905,"Chất lượng phấn không tốt lắm, nói kiềm dầu nhưng hầu như chỉ kiềm dầu được khoảng 30 phút là thấy da mặt đầy dầu.",0,1
train_000905,"Lỗ của hộp phấn bên trong quá bé nên lượng phấn lấy ra không nhiều, rất mất thời gian",0,1
train_000905,Phải dùng cọ phấn phủ,1,9
train_012723,"Chất lượng sản phẩm rất rất rất kém, rất không đáng tiền",0,1
train_012723,"Khăn aden mà giặt rồi mà vẫn cứng đơ, rát, xì xì, nhăn nhúm, gập 40 cái mất nửa tiếng",0,1
train_012723,Lau cho con thì đỏ cả da,0,9
train_012723,Mua 40 cái mà bỏ không dùng được cái nào,0,1
train_006877,Mua 20 miếng mặt nạ nhiều loại khác nhau nhưng không bị gói nhầm hàng như những cửa hàng khác,2,2
train_012723,Lần sau không bao giờ dám mua đồ của shop,0,1
train_006877,Làm việc có tâm ạ,2,9
train_006877,Đã mua nhiều lần và lần nào cũng ưng ý,2,1
train_006714,"Thời gian giao hàng rất nhanh
Chất lượng sản phẩm Ok!",1,9
train_006714,"Chủ shop nhiệt tình, thân thiện",2,5
train_012388,Ốp đẹp lắm ạ cơ mà bị nhầm của em 1 hình,0,7
train_006714,Sẽ ủng hộ shop tiếp!,2,9
train_014641,Dầu đậm đặc ghê shop ạ. Lúc trước em có mua của shop khác màu nhạt lắm luôn,2,1
train_002096,"Mặt tiếp xúc với tóc không chống dính tốt, không trơn",0,1
train_002096,Máy nóng kém,0,1
train_003203,"Thời gian giao hàng rất chậm, shop phục vụ rất kém, đóng gói sản phẩm rất kém, chất lượng sản phẩm rất kém",0,1
train_015587,"Giày đẹp lắm, shop vui vẻ tư vấn nhiệt tình. Rất đáng tiền. Thời gian giao hàng rất nhanh. Shop phục vụ rất tốt, sẽ ủng hộ shop vì giá đẹp, giày đẹp.",2,1
train_001704,"Giao hàng nhanh, đặt hàng sau hai hôm là tới nơi rất ưng cách phục vụ nhanh chóng của shop",2,3
train_013855,Chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn,2,1
train_013855,Khá là ưng 😊,2,1
train_008959,"Chất lượng sản phẩm tuyệt vời, dây xanh đậm so với hình ảnh chụp",2,1
train_005937,Combo đúng nhiều luôn,1,9
train_005937,Đẹp lắm shop ❤️,2,1
train_010865,Shop phục vụ rất tốt rất đáng tiền rất đáng tiền đóng gói sản phẩm rất đẹp và chắc chắn,2,2
train_015553,"Máy chạy rất tệ, không hoạt động và yếu, sử dụng không tốt",0,1
train_006965,Rất đáng tiền,2,4
train_006965,"Shop giao hàng nhanh, đóng gói đẹp, hàng thì cực kỳ dễ thương luôn",2,3
train_011639,"Sản phẩm tốt, nhưng hàng vận chuyển hộp bị móp",0,3
train_008327,"Đây là lần thứ hai mua hàng, thật sự rất hài lòng! Sẽ ủng hộ shop dài dài",2,1
train_014663,Sẽ tiếp tục ủng hộ shop dài dài,2,9
train_014663,"Sản phẩm sử dụng được 1 ngày là khác liền, sữa về rất ổn shop à, khi nào dùng hết sẽ tiếp tục đặt hàng của shop 😘

Shop tư vấn rất tận tình, mình rất thik.",1,9
train_011307,Shop bán hàng không có tâm,0,1
train_011307,Lưỡi dao gỉ vẫn giao cho khách,0,3
train_016047,"Thời gian giao hàng rất nhanh
  Sổ đẹp",1,9
train_008163,Bỉm chật bé nhà mình 7kg đã thấy chật rồi ạ không dùng được cho bé 12kg nhé,0,1
train_009693,"Sản phẩm không còn mới, đã bị gỡ miếng giấy dính với tấm nhựa",0,1
train_007161,"Ngon, về Việt Nam quất luôn 1 em 13,3 inch",2,9
train_013960,"Tôi mua hồi tháng 6 vừa rồi, đang sạc iPhone được 30% thì không sạc được nữa",0,1
train_013960,Mình cần hỗ trợ về bảo hành,1,5
train_013166,Nhầm sản phẩm,0,7
train_009703,"Son thì lỗi đầu son như dùng rồi, chất son loãng như nước, không đặc.",0,1
train_009703,"Chất lượng sản phẩm rất kém, vỏ son bị méo",0,1
train_009703,"Để 30 phút trên môi không khô, quệt một phát là bay màu",0,1
train_000916,"Sản phẩm quá kém chất lượng như nước, sử dụng mà thấy da tay vẫn khô không có dưỡng ẩm",0,1
train_007281,không giống hàng gì hết,0,1
train_001284,"Sản phẩm đáng yêu, shop còn tặng quà khi mua số lượng nhiều nữa",2,8
train_015853,"Chất lượng sản phẩm tuyệt vời Thời gian giao hàng rất nhanh
Bột thơm mịn ngon.",1,9
train_010353,mỏng - không biết điều kiện còn đi xa nó có bục không,0,1
train_015853,Mong là giảm cân như quảng cáo,1,9
train_008035,Không ổn lắm,0,1
train_011640,"Thời gian giao hàng rất nhanh, gói quà hơi sơ xài nhưng sản phẩm thì ổn",1,3
train_013899,Tặng đồ xài không được,0,9
train_005824,Hàng quá kém,0,1
train_013172,Shop Mall mà làm ăn tào lao ghi lốc 6 chai mà khi giao hàng thì giao 6 chai rời,0,3
train_009551,Nhận sản phẩm không đúng với mô tả,0,7
train_001771,"Chất lượng sản phẩm tuyệt vời, bánh rất ngon mà cái hộp đóng gói nhận nhìn không cảm tình xíu nào luôn",0,2
train_008061,So với giá tiền thì chất lượng như vậy là ổn,2,1
train_010626,"Đóng gói sản phẩm rất đẹp và chắc chắn
Mình k thấy tác dụng lắm sau 2 tuần sử dụng",1,9
train_008061,"Tuy nhiên chắc tại shop bán mấy cái phụ kiện điện thoại bé nên hay nhầm lẫn quên hay sao ấy, thiếu mất của em một cái que chọc sim rồi",0,9
train_007234,Chất lượng sản phẩm tuyệt vời,2,1
train_007234,Máy dùng thích lắm,2,1
train_007234,Shop phục vụ rất tốt,2,5
train_007234,Đáng tiền,2,4
train_007234,Cảm ơn và ủng hộ shop,2,9
train_014254,Giày ok lắm các bạn,2,1
train_007019,Thời gian giao hàng rất nhanh sáng đặt trưa giao,2,3
train_015723,Nhìn chung thì tạm được thôi mình mua 4 cái nhưng trong đó có 1 cái không lên đèn nhờ shop nghiên cứu lại,0,1
train_002243,Hàng chất lượng shop rất uy tín,2,1
train_003079,Túi nhỏ không vừa kích cỡ thảm,0,1
train_003079,Mặc dù đã cuộn chặt nhưng cài dây kéo rất khó kéo vào căng đến nỗi rạn chỉ may túi luôn,0,1
train_003368,Rất không đáng tiền kích bảo hành từ tháng 12/2017,0,9
train_000072,Đóng gói sản phẩm rất đẹp và chắc chắn chất lượng sản phẩm tốt,2,1
train_007800,Nói thẳng ra là nhảm nhí tệ nhất trong những cuốn của DLVT mà mình đã đọc,0,9
train_007800,"Mình không thích cuốn này lắm, nó cứ nhàm chán kiểu gì ấy, cứ như rất gượng ép. Nam chính như kiểu hời hợt, tình yêu này cứ loằng ngoằng luẩn quẩn, dễ đến dễ hiểu làm vô cớ dễ giận nhau. Các tình tiết không chặt chẽ, không thuyết phục, cách viết rất non tay.",0,9
train_007800,Cái tựa động phòng hoa chúc cách vách nó cứ kiểu gì ấy,1,9
train_007800,Nhưng giá cũng hơi chát,0,4
train_010793,Không giữ đá lâu như sản phẩm của Zebra. Thất vọng về lock,0,1
train_001944,"Chất lượng sản phẩm tuyệt vời
Trên cả tuyệt vời",1,9
train_011529,Sản phẩm rất tốt giá cả hợp lý. Sạc đầy điện thoại 3300mAh được 8 lần. Thực sự rất hài lòng.,2,1
train_011529,Shop tư vấn và giải đáp rất nhiệt tình,2,5
train_011529,Cho 10 sao luôn 😊,2,9
train_008761,Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Thời gian giao hàng rất nhanh,2,1
train_016075,"Ấm thì bị hư không vào điện, gửi đổi thì bực mình chịu phí, khăn thì chắc liệu loại 2 giao hàng chậm",0,3
train_008761,Em trang trí thêm,1,9
train_015141,Giày rất đẹp nhìn rất xịn,2,1
train_008761,Hihi,1,9
train_005414,Cushion xài cực mê. → Cushion sử dụng rất thích,2,1
train_005414,Shop gói hàng cẩn thận,2,2
train_005414,Dùng hết sẽ ủng hộ tiếp,2,9
train_014504,"Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt
Xin lỗi shop vì lúc đầu k đọc kĩ.",1,9
train_013095,Shop giao hàng cực nhanh luôn gói hàng cẩn thận nữa !!,2,3
train_014504,Sản phẩm rất đẹp với giá tiền nha mọi người,2,4
train_013095,Chất lượng giày thì đẹp mà dây giày hơi dài thôi ạ. Lần sau sẽ mua ủng hộ shop tiếp,2,1
train_014555,Đóng gói sản phẩm rất đẹp và chắc chắn,2,2
train_014555,Chất lượng chờ thời gian,0,1
train_003861,Giao hàng cực nhanh!!!,2,3
train_007844,"chuẩn như hình, ước gì có thêm hộp Vans thì tốt",2,9
train_003426,"Trên hình toàn là chuột, song vậy mà lúc giao lại không phải.",0,3
train_003426,Đánh lừa thị giác,1,9
train_013304,"Máy bị lỏng quá, mua hai cái chán quá",0,1
train_003350,Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Giao hàng nhanh nhiệt tình,2,1
train_010546,Sản phẩm rất ổn,2,1
train_010546,Nằm thấy dễ chịu,2,1
train_001311,"Chất lượng sản phẩm tuyệt vời, đóng gói sản phẩm rất đẹp và chắc chắn",2,2
train_001311,Ngon nhé shop!,2,1
train_000937,Hộp đựng đồng hồ không giống như clip,0,2
train_000937,Tại sao nó lại ra tên của shop ???,0,9
train_008328,Chất lượng giấy quá kém,0,1
train_008328,Bìa thì bị chảy mực quá kém,0,1
train_012496,Đẹp mà rẻ,2,4
train_007194,"Tôi đặt hai size 4 mà giao 1 size 4 một size 3 giờ cái không mặc được, chả hiểu có phải shop cứ đẩy hàng đi cho hết hay không nữa dù sản phẩm cũng tạm được, shop phục vụ kém",0,3
train_012496,Thích dễ sợ ^^,2,9
train_001735,Giao hàng không đúng mẫu,0,3
train_007800,Bìa sách khá đẹp và sách mỏng rất gọn,2,2
train_012662,"Thời gian giao hàng rất nhanh
 Rất đáng tiền
Vải mặc bao êm luôn màu cũng giống hình nữa nếu có dịp sẽ ủng hộ tiếp ^^",1,9
train_010095,Chất lượng sản phẩm tuyệt vời,2,1
train_010095,"Order hôm trước hôm
Sau nhận hàng",1,9
train_005500,Shop gửi hàng nhanh dép đẹp,2,3
train_005500,Rất hài lòng,2,1
train_009332,Dịch giả không có tâm hoặc quá kém dịch như Google Dịch,0,9
train_005882,Đẹp hơn mong đợi,2,1
train_000766,Giá tốt sản phẩm chính hãng,2,4
train_005882,"Câu đã sửa: Có 6 sao thì cũng đánh giá luôn, rất đáng tiền",2,1
train_002316,Tôi đã thử nhiều loại file trên nhiều máy tính với hệ điều hành,1,9
train_002316,Tôi sao chép hoặc di chuyển dữ liệu USB không nhanh như tốc độ quảng cáo,0,9
train_002316,Có lẽ tại USB,1,9
train_002063,Ngoài ra còn được tặng thêm cột tóc siêu xinh nữa,2,8
train_002063,"Gói hàng cực kỳ kỹ càng, ngoài bọc xốp ra, chủ shop còn bỏ thêm bọc nilon rồi mới bỏ vào hộp các tông",2,2
train_002063,Son đẹp còn nguyên niêm phong và không hề bị trầy,2,2
train_002063,Cực kì hài lòng,2,1
train_002063,Chúc chủ shop mua may bán đắt,2,9
train_000467,Đóng gói cẩn thận,2,2
train_005099,"Shop phục vụ kém, nhân viên giao hàng không cho kiểm tra máy",0,5
train_009006,Nhận định ban đầu khá tốt sẽ trải nghiệm thêm,2,9
train_009913,"Chất lượng sản phẩm rất kém kim giây liên tục bị kẹt, luôn trễ giờ rất không đáng tiền",0,1
train_010348,Son Max đẹp đúng màu mình thích,2,1
train_011648,Shop đăng bán mẫu mới nhưng lại gửi mẫu cũ,0,1
train_010348,Cảm ơn shop 😊,2,5
train_000385,Áo mặc đẹp nhưng hơi ngắn xíu,1,1
train_008339,"Chất đẹp, giá hợp lý, ship nhanh chóng",2,3
train_009613,Trông hàng mã quá tóm lại không nên dùng,0,1
train_013935,Chất lượng sản phẩm tuyệt vời,2,1
train_013935,Truyện hay,2,9
train_013935,Rất đáng tiền,2,4
train_013935,Chi phí giao hàng cao quá,0,3
train_006204,Mặt hơi to,0,9
train_006833,Nhìn đẹp lắm,2,1
train_015400,Giao hàng thiếu và không rep inbox shop quá kém,0,3
train_014728,"Giây may sáu quá lỗi, máy đường chỉ tệ quá",0,1
train_005596,"Mua hàng thì giao giày hư, trả hàng thì không thiện chí nhận lại, đăng lên Shopee thì không mua lại kêu tốn phí ship, vậy tôi mua bán lại mà giao giày như vậy bán cho ai.",0,7
train_007726,Hài lòng ba đôi giày,2,1
train_005596,"Đóng gói sản phẩm rất kém, shop phục vụ rất kém",0,5
train_000491,Ốp bị xước nhiều hơi cũ,0,1
train_000491,"Sản phẩm đẹp, rất đáng tiền",2,1
train_009506,"Cùng hãng LinkCard mà bộ kia mình mua mềm hơn, nhưng bộ này có vải cứng và nóng",0,1
train_009506,"Muốn đổi trả thì shop vòng vo một ngày không đưa ra giải pháp, nói đấy là do khách cảm nhận cá nhân.",0,7
train_008640,Chất lượng sản phẩm rất kém,0,1
train_009506,Không trả được thì nói thẳng chứ bạn :) Cách giải quyết khiếu nại làm mình hơi bị buồn và khó chịu :) Chất lượng sản phẩm kém,0,1
train_008640,Rất không đáng tiền,0,4
train_008640,Các bạn nên chọn loại khác nhé,0,1
train_008640,Kính không có keo toàn bộ mà chỉ có keo ở viền màu đen khiến màn hình trở nên lem nhem,0,1
train_014417,"Khi sạc hết pin mà sạc cả đêm cũng không đầy, chất lượng sản phẩm rất kém",0,1
train_009558,Hài lòng,2,1
train_014417,Sạc cho máy Oppo 2 tiếng mới được có 3%,0,1
train_004616,Giá tốt,2,4
train_009558,giống hình,1,9
train_004799,Không hài lòng về chất lượng,0,1
train_004799,Chất liệu sản phẩm là vải xô chứ không phải cotton lót nỉ như trong giới thiệu,0,1
train_013010,Ăn ngon 😀😀😀,1,9
train_010678,Phục vụ tận tình giao hàng nhanh đóng gói kỹ,2,3
train_000467,Giày rất đẹp mềm dễ đi,2,1
train_014702,Sản phẩm tốt mạnh nhưng còn chờ độ bền được bao lâu,1,1
train_012252,"Tôi mua 2 chai đều bị cũ, có phải hết hạn sử dụng nên giá rẻ không shop?",0,4
train_012252,"Hạn sử dụng thì ghi HSD chứ không ghi NSX như đồ ăn, nhưng đáy chai lại ghi 2018.01.04",0,9
train_012252,Đóng gói sản phẩm ổn vì được dán băng dính chống bung nắp,2,2
train_004259,Chất lượng sản phẩm tuyệt vời,2,1
train_004259,Đóng gói sản phẩm rất đẹp và chắc chắn,2,2
train_004259,Cảm thấy hài lòng khi nhận sản phẩm,2,1
train_004259,Nhận được hàng nhanh,2,3
train_004259,Sẽ tiếp tục mua ủng hộ shop dài dài,2,9
train_008626,Chất lượng sản phẩm tuyệt vời,2,1
train_008626,Dép rất đẹp đóng gói cẩn thận,2,2
train_008626,Sẽ ủng hộ shop dài dài,2,9
train_003522,"Giao hàng nhanh, đóng gói cẩn thận, hàng xài tốt",2,3
train_003791,"Chất lượng sản phẩm tuyệt vời, shop phục vụ rất tốt, rất đáng tiền, thời gian giao hàng rất nhanh",2,9
train_003791,Giày êm,2,1
train_003791,Sản phẩm này siêu nhẹ,2,1
train_003791,Chị chủ nói chuyện dễ thương,2,9
train_010344,Mua xong về hối hận loa nghe nhỏ quá,0,1
train_010344,Muốn đổi trả thì như thế nào vậy?,1,7
train_014962,camera nhìn như mắt cua,0,1
train_009641,"đằng này toàn câu hỏi vớ vẩn :v những cái đấy fan lâu năm hầu như ai chả biết , chi bằng lên google đầy câu hỏi mà mau vui :)) thất vọng thật sự 
Dc cái card chibi khá xinh =))",1,9
train_009641,"Tưởng đâu nội dung nói về hành trình đến thành công của EXO tâm sự tuổi hồng :D Hướng dẫn fan cần gì, ....",1,9
train_012471,Dùng rất mát mềm da,2,1
train_012471,Hiệu quả tức thì,2,1
train_012471,Mình đặc biệt dùng gel này để chuốt lên lông mi và lông mày để làm dày và dài,2,9
train_012471,Lần sau hết lại mua của shop tiếp,2,9
train_012471,Ngoài ra còn dùng để bôi lên vùng da bị khô nữa,1,9
train_004983,Bình dùng rất thích cảm ơn shop,2,9
train_015895,Lên 4G cho oách,2,9
train_005021,Chất lượng sản phẩm tuyệt vời,2,1
train_005626,Chất lượng sản phẩm tuyệt vời nhưng toàn chữ Trung Quốc,1,1
train_001905,Mua hàng của shop rất uy tín,2,9
train_005021,Đẹp lắm shop ơi không chê vào đâu được Đóng gói sản phẩm rất đẹp và chắc chắn Rất đáng tiền,2,2
train_003264,Hàng mua xong ăn rất dở so với mua bên ngoài,1,9
train_010503,Hàng tốt ok lắm,2,1
train_011118,"Giày đẹp và chất lượng ạ 
Sẽ ủng hộ lần sau",1,9
train_015443,Son mềm thơm sẽ mua thêm hàng ở Shopee sản phẩm chất lượng tốt,2,1
train_013061,Sản phẩm rất đẹp và có chất lượng tốt,2,1
train_009988,Thằng nhóc ngồi gỡ một lúc không còn phím nào,0,9
train_010741,Dùng rất thích,2,1
train_009988,Thật nản thiệt chứ,0,9
train_009988,Bàn phím dán keo tệ quá tệ,0,1
train_010741,"Mua về cho chồng, chồng sướng quá hihi",2,9
train_013870,Kẹo chua hơn không giống loại mua ở siêu thị Thái Lan,0,1
train_009043,"Giao hàng thần tốc giá rẻ, hài lòng!",2,3
train_011787,Shop giao thiếu đồ mà nhắn tin shop không trả lời là sao,0,5
train_015682,Sản phẩm ổn,1,1
train_001429,Ổn so với mức giá,1,4
train_015682,Giao hàng nhanh!!,2,3
train_008398,Phản hồi lại thì bảo ngẫu nhiên,0,9
train_008398,Kết quả shop cho 10 cái như một,2,1
train_008398,Gọi điện dặn dò shop các kiểu con đà điểu,1,9
train_008398,Lần trước đặt 2 cái 18,1,6
train_008398,Thì gửi một cái 18 một cái 15 mét,1,9
train_008398,Nói chung là phục vụ kém thái độ không tốt,0,5
train_015613,"Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn
Rat hai long",1,9
train_004423,Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh,2,1
train_004423,Cảm ơn cửa hàng,2,9
train_009960,"Đóng gói sản phẩm rất kém, giày bị móp méo hơi ố vàng",0,2
train_008173,Chất lượng ổn,1,1
train_000190,Mình nhập đúng tên và mật khẩu nhưng không vào được,0,9
train_008173,Đóng gói ổn định,1,2
train_008173,Chỉ có đường chỉ chưa chắc chắn lắm thôi,0,1
train_008173,Nhưng ok,1,9
train_008173,5 sao,2,1
train_006125,Nhìn giống hàng chơi em bé,0,9
